i,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
590,539004,685298,710397,517996,867754,907578,513251,148689,159245,545048,803994,932267
591,270345,291222,175068,814079,363540,1007932,702717,283700,853684,66089,697505,305895
592,309361,964836,342623,1012102,215103,910763,433931,447597,438073,949722,84610,775914
593,213648,45384,729127,893126,152438,330926,31650,429684,533995,1047073,1859,402916
594,1039452,1047524,385139,587463,418663,770186,575476,905537,724903,252447,484190,430735
595,201165,750742,247106,332666,548781,1026249,104070,105931,129846,462384,973230,271361
596,444759,713719,258141,283607,641716,275083,310000,82975,541407,456596,93962,102516
597,462649,529219,512679,134569,718393,333024,487143,607371,998086,892548,267700,22352
598,802081,673163,751681,352076,488838,557684,989717,574448,431409,87378,522486,143724
599,820254,970831,5541,652337,489687,348368,702918,115467,1006831,682079,532393,178936
600,425444,986382,547237,27564,934828,266358,912304,518773,364538,405374,274537,848621
601,28382,835864,433095,35544,860382,161210,321786,1022671,339485,162435,977388,646602
602,706579,646750,262917,392842,442077,343764,136473,177287,135350,933849,418654,441452
603,258086,883119,23350,423031,975710,371578,950132,786683,721875,642450,1044961,1008429
604,532846,869488,387514,186923,378864,716631,792244,269312,418671,766203,586234,961819
605,461759,907301,349047,1018033,940378,297505,360629,299167,856486,627718,713560,36744
606,620352,622856,238381,1026897,45308,492097,191574,336544,508004,716236,543682,853828
607,934622,736381,983272,429491,505855,679652,511014,844266,404077,1037271,1078,985717
608,11581,332032,456505,447051,476814,244679,617705,949473,584537,686522,594583,270831
609,445260,696246,848070,878415,524965,716908,777711,217447,237136,373751,1047122,964658
610,453025,899498,232175,17978,159861,898837,31915,660471,641436,631199,366114,599827
611,925095,396648,523256,299240,593034,735402,897999,4454,166999,521067,1033572,772193
612,329520,480806,784959,653435,834683,142746,996440,982550,769176,275371,852927,932930
613,742623,293475,263045,261387,427265,215310,489407,484834,85427,413699,163622,276258
614,144693,344919,4866,262230,773893,908222,825488,500835,9007,512804,798737,207873
615,763357,883712,1028055,184959,959564,946397,401312,76734,1035855,155372,900014,157630
616,557474,115071,202760,13496,855074,303321,277836,109658,577482,350178,136543,342039
617,432566,225380,1045165,21077,82508,130087,961189,572682,169016,440782,316692,183976
618,200044,32879,127095,518435,363642,222309,705473,646318,66337,848696,132863,71639
619,431871,489603,938308,342275,850932,406500,676622,97017,106883,521887,1009507,394513
620,992338,987282,713680,809094,264388,843546,467939,392516,379946,175038,302498,206776
621,1003686,444402,93431,519680,482667,901137,904677,892876,476330,595759,731169,1041733
622,389032,243009,391366,421338,522158,1044688,938820,357479,389924,142926,1031246,898327
623,936130,818865,844279,444454,687184,179417,542169,769829,829294,919987,528114,636687
624,613252,669974,921127,167645,113223,79637,250772,543811,9250,1009448,832056,242359
625,544846,51961,97888,116661,510552,10864,563020,955395,942939,311345,694789,718435
626,809044,577679,480809,215736,191645,719409,706994,398272,624478,789733,310617,387345
627,424878,89851,8052,867070,314359,287195,973127,572975,104312,832731,606514,86099
628,226664,316872,327311,874880,411263,408823,617167,562031,945139,795961,224066,842339
629,1016758,105753,145995,258045,401027,658899,787520,602869,185902,730696,283705,812968
630,775232,628931,171649,1036883,531894,135079,271694,358617,362277,980812,792220,69260
631,699562,672897,639992,673131,993432,949751,636529,534988,28784,1013321,818997,649566
632,496507,698612,787059,670152,870675,969451,520648,864241,493202,408751,905168,598892
633,431904,507672,834362,891997,969463,706325,112128,327002,170147,142476,249547,287357
634,815125,853597,422964,755218,204661,678214,824465,408245,240804,987102,637760,88150
635,574353,894097,524837,396565,170326,745573,1024602,51357,156856,330659,19012,810485
636,613841,757608,198130,992434,66633,507173,851319,803290,575182,550406,11174,276186
637,786322,486375,171859,700045,256604,397301,69231,546187,606771,733964,412252,233224
638,1027675,482426,311331,394631,516936,969336,57932,444923,658706,7562,860232,183033
639,287610,544972,466862,145326,966947,83503,845847,808367,145469,747934,908967,664380
640,920797,98807,459900,237431,217331,986867,8474,779348,495688,424324,150543,885690
641,820279,497094,650130,821458,3987,586171,916239,358284,75225,714014,756561,128192
642,555785,341859,731976,228661,960466,826005,744749,391376,218142,673723,290361,654180
643,1008354,299591,18002,56093,179182,388482,507507,827188,556652,681073,254411,609917
644,657737,823967,252874,938954,735560,158143,632224,361302,989771,419827,92630,671719
645,829978,530088,375928,295780,659940,751514,339520,677163,72898,91289,896448,794901
646,729367,139215,548642,242513,342073,368384,64110,159609,45712,817308,9696,687337
647,289736,215750,96762,741600,593742,65212,171899,757088,816423,222835,691978,717551
648,877590,312137,191115,222580,727869,958598,26641,363953,306896,1048265,417522,1015068
649,955814,953824,45973,542828,747036,40025,507174,935344,766971,615856,480602,896557
650,64737,167072,623102,64194,490195,382733,473040,263694,893982,887418,177183,549690
651,218684,210788,1026014,251264,241503,675968,7071,740208,993012,646076,51668,795640
652,666470,599588,436905,397523,995554,114965,87772,301229,299869,964746,247995,437575
653,159031,165335,389586,66189,729614,251406,431375,8972,580967,302513,176249,681935
654,534747,574187,893762,863917,1013929,301193,42587,369952,288660,736700,157819,144542
655,823799,899463,899461,428478,182345,909921,727739,430305,414587,584695,200081,564187
656,401033,137764,358589,878902,68485,833030,729751,444209,218732,609936,703560,658743
657,483224,909370,907626,675558,574030,438852,929659,400882,565574,149661,929334,7194
658,15813,132613,307824,1004197,197180,512257,1041687,467235,564797,317689,655266,144251
659,421123,1045304,989631,717359,492312,16961,293206,739887,95111,522344,822040,100659
660,231349,767443,318329,111497,444317,398898,1041146,632568,664369,117547,91641,409735
661,237882,233656,1022821,692049,419038,434894,278121,528385,369457,731718,1002212,570053
662,295826,805135,356782,80006,854986,108893,72773,631538,207459,207119,581149,955511
663,1043188,511562,761121,145155,940710,114103,163920,645598,441859,636457,598078,32071
664,682434,219394,904946,338963,456664,222336,752397,629737,187909,276859,913405,121095
665,488375,596287,235351,109366,588119,785168,944081,62053,46687,281461,683008,794610
666,514398,554599,977186,261683,375656,323173,405521,328879,695053,438332,3137,759398
667,157928,732437,405774,929464,726717,780899,153243,634453,1045929,66668,569702,352481
668,195707,770473,78237,438489,799921,25819,788715,249031,886042,1042253,226842,19822
669,269853,365824,517463,891993,860176,659311,559507,614526,181077,157003,659523,186645
670,450781,426320,960255,301785,483942,963387,569226,55577,624272,115908,119865,506736
671,734252,917701,985878,133097,318746,270534,602365,791979,957813,439894,825131,334847
672,83543,967219,504377,973870,341738,76741,556905,909878,457788,887001,465687,392578
673,519803,651543,199451,879513,301420,220243,647037,362718,204046,1004240,484498,48783
674,745579,820273,268592,243049,671245,1004998,813625,542854,3371,65262,713858,885060
675,710693,747162,254328,10644,324801,109497,749507,456177,681585,539880,689299,801029
676,862064,76806,925878,505120,264111,471107,64709,296245,403509,105577,217283,1045830
677,177057,726998,738952,181685,355342,359271,397183,885981,774625,528884,71397,383566
678,405970,756794,180660,476605,189046,504267,933789,436440,832685,117563,340502,408632
679,944227,752081,938927,1035899,490822,282876,585830,823932,373986,854767,97309,842849
680,421027,658730,348915,463702,433071,298130,71852,744601,579056,63383,999484,991803
681,725797,192324,88953,595429,590399,291268,84490,501116,393519,573307,300291,699881
682,31661,247328,157359,219270,657019,331540,945553,651331,840165,23413,229942,1002190
683,944738,751172,447421,874648,122879,170101,1022916,1005975,347298,803918,184057,705207
684,933737,994656,341695,456345,986314,970628,727768,283389,560504,1036591,232873,742084
685,287612,417263,999893,105528,170387,674806,643393,426220,245358,954899,774628,369368
686,342742,647095,111836,663818,221059,763587,52415,190532,720942,392990,887678,399910
687,441864,555997,849338,541187,814951,442738,689732,366970,809486,431536,778919,984918
688,911313,935956,222239,182502,60590,591265,864025,996462,620178,191006,973001,635019
689,1266,72999,1012382,423458,454169,759965,514169,548539,129766,47231,85576,610901
690,241414,133691,395211,963685,730579,472758,136608,43322,890064,804777,541768,421218
691,642841,943213,720296,559971,115365,732768,829999,333496,453396,772188,1047327,219951
692,486949,1031824,845719,961591,695388,524947,933998,904541,772718,277969,137330,898540
693,521776,258823,403682,277583,683454,844156,97489,245390,518802,811027,949301,959035
694,564955,527300,589221,193701,637985,148143,701165,679121,267408,361610,802424,651390
695,205340,682566,290437,964180,708199,371653,719698,840605,875746,905475,27845,541086
696,908547,91877,880330,315785,501767,1007343,919947,913636,311559,123749,949714,138224
697,79320,590492,697452,93987,799845,880869,158935,483456,287946,633011,891092,620029
698,836578,239168,469575,945861,807386,61485,714602,332724,1041028,955977,254737,818327
699,256139,763837,133980,898731,693351,267502,150246,814772,938652,398020,831214,226269
700,634754,791342,732293,994205,989489,337275,797044,255229,942420,476696,314951,893015
701,825058,27116,315457,743860,432329,1008805,400765,254592,378880,578496,960027,659277
702,447505,959878,319409,962917,67379,452057,17027,349837,63971,34319,896082,510992
703,939434,34947,763550,59115,468593,412541,1001212,913178,757051,412877,812577,148447
704,997051,733788,1035938,980327,873871,197835,142264,766708,1021793,743060,839565,969066
705,357120,389394,769226,24958,708800,519470,658147,870640,866144,552356,412976,291510
706,600422,493281,198668,636009,462056,74120,1014630,510422,736933,339965,457274,393210
707,116795,606583,676539,836937,958985,979985,981696,434377,207712,362986,536737,402336
708,316357,807900,597756,983506,794,377319,1029707,446421,1014556,617102,339716,967358
709,29349,633281,960013,114371,338201,805905,765857,1012286,847144,425799,854627,261000
710,40896,254996,284027,423505,654761,947044,185702,599439,208167,505099,314332,234082
711,393831,302503,731996,682541,761193,685637,933845,284264,393694,445717,346693,889394
712,121774,284369,61565,527904,400100,705539,343979,840333,113572,351957,417983,518906
713,392843,579637,623366,553178,670563,703226,253505,211560,904377,552651,792330,911482
714,63156,398438,269463,149106,713449,354899,510975,917424,897834,389372,434484,206161
715,969272,740301,352265,192642,280304,446733,504273,322580,930271,236472,685562,150953
716,1032645,866019,617446,630349,383952,117927,715673,694095,720855,281671,839158,584879
717,911791,727857,174128,428461,348620,46396,671182,287361,588168,283751,390827,450509
718,350551,1019615,432207,434808,425201,561044,492667,316729,107681,750777,609556,978294
719,382137,303362,227633,86412,849099,518168,33563,527199,165871,220189,717232,449016
720,1011087,341795,822360,310228,415064,116397,689037,194509,988798,874830,472377,399609
721,427656,442091,272827,603835,887262,960752,594153,876177,94763,702552,854873,1015475
722,677978,292097,65128,827292,26804,67494,746013,759449,751030,81446,906124,999434
723,682620,25239,444818,813252,735128,905325,738459,62801,805041,543774,1009779,936549
724,623232,13184,466616,554852,210388,561950,479040,696938,887570,382892,1036119,947880
725,434826,497716,199677,504412,663477,891086,286097,132098,735659,1048124,745679,104251
726,113026,113433,62026,1047039,209642,506528,1021396,730386,198693,782979,766596,693471
727,149188,403853,732127,335364,208029,998169,417748,507863,421162,43781,829724,21244
728,992513,751219,363167,874076,360918,88024,502556,63686,676560,1047792,144681,806014
729,540044,1017184,743848,664592,28287,164361,39442,138025,672559,209775,337341,459419
730,61827,932391,139902,841220,167764,357270,880684,231751,80847,599657,904491,214582
731,311583,123833,665369,167578,104144,990868,277930,123062,309751,451876,451620,769362
732,871840,958610,94200,447116,742537,448778,671840,415248,819035,846176,26074,914501
733,864691,68557,77203,806036,421185,503387,501934,286393,461505,683809,832301,705373
734,760584,10133,132444,274981,762853,659793,669599,578005,553790,495937,226189,817382
735,460268,311769,588118,439224,300585,397336,337582,343276,64746,378067,652140,431394
736,111567,141930,42002,599836,663502,754580,177477,225284,492088,228612,79915,143642
737,583662,487601,1035024,988522,105428,334504,848360,633018,542199,426921,389968,471854
738,618473,883079,922250,832577,552635,444008,329448,102868,86388,621616,546471,753234
739,665761,900252,188126,457705,129990,694610,161496,727885,183059,400861,707057,577501
740,128973,588386,514609,102899,990883,419478,801124,970028,971110,654565,307487,615422
741,214598,776729,84525,27624,197732,822279,83522,250190,147850,305506,498776,470541
742,463030,123335,447713,847684,606905,525240,320529,573142,288931,867517,115290,356517
743,167419,227836,550462,712515,589396,417341,706448,107984,196574,419319,740132,400439
744,979990,361487,51118,535202,225825,914980,815789,1042097,470158,964886,52436,914199
745,841744,1036035,483162,129014,293710,459706,559991,441920,161181,817875,333600,1047401
746,603260,443539,337613,95826,174506,731287,1031006,976357,871891,785005,887432,617313
747,977509,14781,295706,475110,59203,56129,643992,926861,968650,865506,710454,102010
748,63406,8869,230468,196871,340786,257164,692987,101970,850090,936532,944561,322314
749,842421,181510,253869,399920,376189,56787,349120,198567,466675,605040,1031546,526425
750,792368,440606,661555,173275,128301,680867,680204,312192,198861,400183,813277,518629
751,498145,469274,816741,571753,738713,13361,502144,360960,388264,900985,145683,813532
752,585053,359825,556064,711855,612760,562839,516056,360366,340344,538970,799126,458644
753,190135,316440,396690,514410,750006,815087,913292,123669,724611,561800,558948,517597
754,498594,251062,689920,364426,1024409,749338,437467,510349,362378,848312,7792,65229
755,589120,442227,805911,236675,603741,565578,963080,520215,1022358,23269,471399,418057
756,603121,552209,935663,179452,901052,37525,189501,935939,169329,425706,896553,399581
757,1028588,738127,469997,133127,161547,695236,640582,140853,515450,598964,417675,836407
758,402273,577401,251230,270791,941092,799165,1034692,767676,202564,29752,661854,292445
759,91536,376555,938927,543112,230314,113183,912374,634900,236618,795855,462174,538027
760,973578,549815,91043,947237,379743,454572,458469,838993,565562,120223,931891,970669
761,401914,73114,494001,501988,359791,616492,640284,276838,749320,680222,618942,298656
762,921750,574218,626720,259323,281251,484037,153291,341554,8073,241501,213249,715646
763,158635,517487,711384,757630,476312,155229,849181,831312,910159,816169,421201,673568
764,331282,43089,806757,931552,153725,996106,917838,949434,1002242,16406,214478,654158
765,43373,62330,197525,807617,754705,777243,840369,927897,843448,907729,867499,1034688
766,602089,985982,844565,248714,522448,415706,670226,189886,816778,277467,876360,756152
767,93802,562966,749625,981013,70189,355366,19013,458179,663061,478554,340327,639120
768,245107,471059,404269,753098,874216,369173,622701,558089,366658,206011,1001371,958679
769,806053,749919,193766,352189,997301,115698,68453,192672,712043,851161,173332,683033
770,668727,697927,202701,196165,548017,148203,621395,520375,351076,382999,242050,962181
771,119795,323288,799109,721841,403730,900016,673043,996988,1004934,662560,612924,687983
772,587943,343074,667813,484606,699710,419530,506567,120857,920015,485796,565188,957337
773,408502,69650,215289,749356,597068,482975,56742,858465,817442,95871,304111,655110
774,141393,1042512,132753,933913,520977,1037681,342109,188701,731300,383798,418067,966310
775,204933,166049,643931,28005,912774,882698,368048,10712,989279,113341,228293,750634
776,45592,846017,505447,997620,544228,167113,563362,521848,253797,504059,844846,730435
777,834465,431071,32057,645247,227244,351655,762589,708932,720229,386278,197737,466891
778,407859,664892,822643,307514,336286,896722,391417,577531,909847,906483,831488,649668
779,169801,96474,803977,232569,40439,498397,408352,438540,302654,921177,717359,1002267
780,1036542,868363,336189,560994,612738,309872,656739,721299,801622,654967,545986,767755
781,132559,357438,825744,828352,115311,927439,840700,693935,219103,366949,170110,754138
782,829221,705607,768636,456671,998934,804737,566171,742242,634724,276049,192558,22541
783,846551,659625,995118,48139,514361,466051,656227,39552,717708,893429,769580,229440
784,960818,117057,395373,897908,134039,764685,180536,847485,740231,574028,842633,355673
785,245913,264376,650077,864666,764090,73012,1028595,758901,474652,150616,425284,915645
786,927616,458849,690145,149715,579101,704942,793856,446576,1000167,968249,710465,599067
787,48240,486976,197352,281106,269125,590280,270046,866449,646784,804963,101109,406990
788,112621,478391,408209,129053,244257,48309,211909,886166,940971,530968,872869,629212
789,317594,436238,557832,695778,414244,435500,668497,847078,158180,166852,183950,426638
790,737853,404173,755920,457288,258964,357951,828829,550282,686313,490921,915179,34138
791,340757,65165,566947,147212,962781,799997,884974,547451,173225,227989,241391,189949
792,502910,29412,499803,121734,391820,1033116,148731,310263,782474,446672,484023,967346
793,661185,753695,416820,18359,209613,616630,35266,282324,896770,804647,311670,417651
794,435423,888104,527074,925098,791101,118086,879615,754786,842020,91026,762200,692799
795,594367,100860,118151,996433,457555,504015,70204,678770,430354,1006738,412409,935549
796,820073,362198,955415,116373,216706,161045,750644,406236,454938,614059,81842,662480
797,454935,611975,224216,962982,321575,1008973,944090,225314,536413,190593,127432,687201
798,550590,772502,3774,719508,947552,39478,851440,118624,429905,350695,227348,451699
799,97763,508033,866808,653427,462692,246642,624772,855435,129731,1016898,242854,289337
800,705260,1035854,205590,792025,548868,692173,556188,549479,189303,872947,417408,943815
801,945232,424893,687410,542635,594934,662800,568289,652017,518426,435229,820593,308631
802,645152,475813,1003217,594198,883660,208528,158275,645209,546141,83601,104739,819844
803,46400,874843,405168,326108,451426,658523,196100,153280,473005,90703,50112,310724
804,599732,746849,728721,293681,421341,736929,267568,208848,691907,57878,12454,216217
805,551182,262628,950607,348723,799291,983145,978747,938733,867323,1033879,388405,908422
806,970791,508114,828673,769045,490354,335213,895519,318101,482890,451940,503020,395654
807,724250,431244,446126,338356,527388,403765,958485,946351,100234,433337,143033,275739
808,709197,1034582,254725,48718,592300,320381,1033310,247963,1032495,940034,644822,307128
809,955063,108644,394089,460315,557343,550888,561429,626675,129274,855422,126229,672688
810,123881,912816,811450,437701,111316,255334,653824,876931,746762,892163,405429,560890
811,294107,554043,428543,657444,377922,263543,217516,686499,501373,827516,650374,498326
812,966364,862384,725621,176196,590481,515495,963948,638126,121046,618370,355375,25557
813,629338,729661,1026459,336514,418100,922103,347876,227622,892210,253964,80738,681671
814,73535,472277,169445,414525,318323,301051,753718,817226,314006,825506,82431,804551
815,627845,509607,86901,964839,470700,826947,755778,236675,559028,143952,917935,302211
816,368628,874946,926092,695026,677034,196512,624242,930681,623829,692197,253514,869938
817,495511,694703,17617,195014,73213,414777,57232,163413,849470,441970,320955,921189
818,725930,28870,811937,585758,269971,429302,599249,14280,989231,348838,315461,723230
819,802170,745794,515308,957657,644760,867108,807729,953638,686799,968902,341835,885342
820,824439,398995,545684,650657,161851,927683,216300,557108,997353,781829,751458,650106
821,1035704,554868,913404,342866,835100,877243,749297,800802,641348,860399,286925,634731
822,97986,185871,651068,632835,578790,117957,351335,406862,885183,312581,384071,151363
823,584692,703905,1013189,202590,322569,638244,107524,656297,555537,778790,217015,989506
824,626036,573047,442826,900123,507595,295988,596555,866853,77292,532337,851647,302449
825,503845,332200,1011798,476653,68269,508929,847119,260065,626366,419360,630343,435228
826,545541,630888,698884,951868,630105,918855,362444,1032001,121822,57029,820609,448470
827,670333,89660,1000313,4772,517950,602075,758552,776097,219096,61697,981159,673625
828,385138,20820,597779,54281,803792,978392,374680,760374,659200,249833,623590,1030152
829,1005372,1042508,661164,127467,1024521,881826,767035,206249,954569,3891,57902,335212
830,57364,91457,737669,485133,547439,410949,680878,287379,52284,1013597,97411,114685
831,718269,281130,899729,141704,163502,734310,973816,607559,512314,576426,868525,995258
832,905887,1028212,826184,708489,476720,953323,342791,642135,291311,746868,375796,490470
833,297384,100685,809709,250347,859299,823368,430429,959074,637480,126042,795156,528365
834,700585,705954,123112,925042,163957,805532,453112,929579,742451,197776,865602,98012
835,688889,672330,386915,898180,329196,466390,1044697,109410,915061,594545,1048083,525841
836,152708,492607,239420,925217,323663,295496,815984,662282,549881,919760,605468,641465
837,257144,861331,513344,689543,848094,241181,1013872,667103,542298,877049,280739,761657
838,171431,809905,41749,81038,157323,300762,859270,612782,42396,114272,401828,21421
839,86381,453350,406689,300305,962934,39479,689221,632050,127454,996594,265820,474115
840,386341,599404,525140,843744,925149,179061,980204,854840,646442,315873,48853,713652
841,97321,327036,489336,748937,779238,572266,893092,754964,830667,35105,440232,592541
842,1037659,557937,380591,970896,541225,346637,139247,894381,666166,948426,404243,951826
843,458629,36012,413397,217353,526992,224476,582257,240718,308117,691535,730020,1037241
844,514681,680170,1022945,737526,494181,947204,800986,143382,678052,703440,713922,139529
845,614430,450113,871656,718260,824486,643210,361694,903094,592515,876461,506745,260043
846,576996,927213,741173,445240,251470,393450,15369,262861,377416,787510,293873,963317
847,813761,814617,430539,209091,640334,35058,636663,260799,695092,528988,529784,449507
848,95808,532677,149021,147921,187512,833361,967945,838893,126822,970212,1016140,418034
849,137237,745510,520462,466181,881593,954213,269151,388888,358020,399742,25544,577572
850,683341,76424,809948,152226,246170,268593,740899,1003130,169874,370157,202735,166639
851,636447,122527,716590,583383,605694,441580,134741,587002,230438,43117,1021155,791032
852,128772,597100,187080,1008491,131609,968265,74221,763885,544179,833437,270239,666568
853,579309,953119,947576,958650,813995,138567,128137,2751,587784,582832,233302,74572
854,656560,295507,75758,504186,322204,175356,989991,100051,36450,518067,28442,521444
855,414331,544886,762786,456389,831222,998112,342633,697076,666128,947424,173063,735982
856,275883,891050,469340,650079,393601,1032596,919598,134572,1016977,437319,654631,445826
857,765227,581936,647510,949092,32492,459895,115319,583527,426352,543033,458723,968900
858,540079,940790,33223,509739,455026,68249,1031289,36754,174038,618654,848998,175991
859,866588,1024220,101466,361742,62605,429859,855712,141054,793079,61190,103933,469789
860,353347,678121,978502,987352,430730,332131,333403,610214,924000,330879,854527,461504
861,914249,419974,93865,666407,607058,667790,761403,823850,606375,1022590,108151,940474
862,1004050,434984,191248,228778,665441,351353,944469,194893,889,156655,911793,286531
863,295271,545174,847121,323536,704797,127500,775728,818949,156258,38759,1016220,973463
864,406875,629969,873780,561679,527469,132331,558444,68324,42951,870443,744792,650054
865,1015238,652023,804439,392941,50078,125977,872278,834528,747466,332038,612656,43636
866,409533,737663,949907,16286,1015046,410539,793827,984426,776362,410614,906749,516098
867,305137,269449,819716,197255,959275,915720,718426,906975,361557,42968,670473,829650
868,608530,969887,551901,86148,771055,821055,481999,624432,757765,869322,192420,104018
869,150219,1012016,807354,997086,764538,52772,558649,369173,589597,1032909,951421,865210
870,403420,518956,334534,683046,887799,943734,729717,938677,514271,841755,538355,959630
871,225162,600096,916722,475155,410552,16786,897161,212444,971826,1035275,475761,744295
872,59423,171814,944366,687319,72606,874840,863523,64900,615302,1042740,643713,790045
873,1002941,321906,310823,431214,855978,574136,204259,573645,735216,23716,767813,741853
874,271979,611281,716243,9877,27721,252944,497611,965123,992881,642305,979668,349483
875,933671,101889,675067,1024212,622853,81876,701959,952835,276496,271133,688144,1018144
876,182113,437158,126127,257782,96262,373577,287023,348875,368864,598156,378295,223992
877,371368,407856,946247,665902,459993,83461,57357,324113,225335,238083,531950,582494
878,986052,786381,951424,269854,898860,998343,588354,834360,73431,102549,598798,151770
879,986887,664922,567281,667971,349178,975087,339988,385745,159707,411719,437897,894523
880,796570,914,120466,330241,760740,934561,743520,281397,578778,36071,1016522,479392
881,703282,780161,383820,238127,24051,755929,55966,897570,44459,614321,86779,893292
882,928246,149672,768608,516717,886111,10125,318822,22978,349596,166377,475432,563687
883,16874,1014556,436161,1040449,498185,413393,687126,106328,949321,649703,852583,340329
884,548407,756518,988922,787220,636570,586629,935665,166102,812418,252573,117310,599954
885,254285,996769,769817,345559,540452,19619,260068,156214,546584,711428,758356,423966
886,727163,952236,675517,180163,321563,186280,708095,528296,280648,686272,789831,888238
887,355809,153170,391781,646833,717552,794540,77056,1047893,1048157,1021716,870374,276780
888,615710,102041,205965,422087,273978,405363,412905,34436,458577,945320,570499,269407
889,303586,667580,364938,363992,853332,644937,99069,555796,896606,541633,806983,843301
890,707345,113481,419882,1000540,470841,258533,636516,986080,286256,997305,306902,206490
891,305978,929700,974782,689001,123806,804253,525645,333733,602235,126133,509863,151292
892,431073,248962,611851,492175,216039,409671,121276,436633,548574,953808,564187,361244
893,759490,482950,9486,646107,851052,831293,652348,347704,737303,52124,141091,110926
894,965005,22697,163505,774527,674727,572083,977286,202709,961984,472680,635438,891992
895,1017911,836067,735843,881321,738114,312918,574252,640132,447317,781571,812049,406812
896,162902,39499,37068,37423,1007276,824734,959999,964743,822904,465282,703686,533772
897,372062,491362,738595,894054,925815,867677,771741,334305,592066,101713,311949,899251
898,569699,316843,752704,134477,782204,336577,879392,913664,976129,666288,125383,312354
899,863041,475011,481135,140502,862156,88131,950724,1000536,159510,1034123,874726,356257
900,134691,204545,972091,992960,985656,1048258,24617,492148,401341,384786,877480,903324
901,932425,1027504,995173,339129,304568,970207,245759,278177,50869,774345,1026357,350853
902,685030,474277,234861,916038,849099,264132,622981,628865,236479,462439,893258,464787
903,980672,296090,447511,738120,486507,536151,164206,83937,835559,881789,654894,837121
904,996106,456487,902637,150137,121304,194024,474035,525932,863555,763562,670173,583497
905,632306,774471,664618,138165,460304,151937,979778,580578,219540,678269,776552,668772
906,534762,24636,411362,688009,594188,739117,838190,706023,491852,1043145,122308,952905
907,444170,897318,466209,1019665,785636,211421,912474,67825,18164,63024,582134,635123
908,655434,701440,579520,850915,530225,1018385,943274,687918,559981,818070,631000,759363
909,575239,506094,12511,15753,62655,679870,677964,498017,560878,486081,298011,30151
910,680460,940530,174060,118130,201346,521359,812161,1015080,643316,535339,987473,872703
911,687248,869510,672640,551635,310896,367471,728335,144948,900356,910994,550591,98694
912,81975,333083,58735,618237,973316,890428,57900,670854,486375,679405,300107,424837
913,187158,820600,127783,49941,627759,852382,242096,310346,968565,338844,658659,790709
914,680359,781554,160248,1008156,824052,684250,266719,471382,1013181,256444,44594,265786
915,449671,96160,657669,659734,436163,886856,89562,410820,747655,477472,826349,731339
916,387998,1019740,520616,782267,471789,71695,895256,982860,747985,998008,397346,973347
917,954337,784396,948405,933187,576520,417879,855318,610492,331079,536399,253923,344588
918,878076,914530,398164,705418,12671,963133,108341,740818,751019,788256,52364,567368
919,593249,181733,482115,442892,589281,823092,247736,535995,297678,208429,23007,329423
920,422581,755436,342097,483680,763551,666580,264088,486438,407888,163156,894071,5551
921,500004,881008,432014,413634,146709,807611,58532,966190,250856,740781,654885,308888
922,928141,537209,636414,148385,646237,107510,222446,481268,146571,646590,379114,881005
923,512054,1044730,459027,703559,436656,927014,48307,719240,367559,939252,587138,116875
924,544800,264947,480267,196509,1001738,325241,781596,974995,404627,855036,648768,673819
925,137741,354251,276361,152508,198701,369337,394047,87011,798993,910727,679473,403297
926,751245,621004,34465,39196,194230,1002788,584257,344964,133670,1040253,848254,486735
927,656582,947205,150860,556404,93647,481221,771784,140422,813337,750058,354742,541231
928,981335,128632,1038987,127909,568561,205514,276756,72569,290302,594447,99846,830886
929,323425,501395,274886,209604,606999,896558,578835,328983,214397,875331,738726,866800
930,939918,969018,530719,689334,324994,833925,853814,29399,341530,380139,586449,927010
931,979432,805567,662868,566255,12219,556031,48522,330732,415387,269257,625152,752856
932,706728,5352,561010,260228,815599,414194,920002,931514,927120,492674,103437,49381
933,278946,624707,29164,844409,331162,383437,279660,373926,60349,1033306,770868,1483
934,865366,158640,339974,918099,221183,145727,460930,363418,856632,198235,175796,146341
935,921630,7225,485602,746604,687678,436579,105771,561828,910489,127568,92972,794360
936,846333,591432,501635,936470,20661,523469,259166,657390,765267,409555,103361,603693
937,970437,769289,859058,235103,424857,325188,1027475,146811,743540,10607,709164,346613
938,789349,576251,721688,709456,597135,112538,746399,533252,233516,479149,583298,502756
939,339441,240828,73829,451853,221472,26475,351689,521578,267106,471118,597869,351074
940,614077,223940,12148,566225,647679,993212,126390,301831,1009602,549739,356326,61617
941,920728,979773,69310,421130,240179,463661,293754,723955,449493,287122,635550,87122
942,820533,900463,33358,334853,689153,406866,201243,210138,374554,193761,330211,654649
943,110952,446634,857709,577526,43925,51585,7940,186089,847061,495756,895363,617577
944,740546,836571,470155,897257,19907,329544,277518,998592,4826,714234,404059,272306
945,847406,447011,318362,246686,326060,329116,970655,234218,319465,617997,242776,926672
946,492746,377614,1916,879702,978641,84930,1020729,652230,917423,259784,968114,185541
947,417924,244985,798447,377550,814072,366819,877007,1036512,237160,596883,451908,654199
948,104927,552212,960944,956467,427392,820053,57092,453395,717872,878721,246033,384963
949,556539,833311,313445,530996,600895,26191,633860,269621,672718,668031,738969,767740
950,413472,307521,113601,202081,161478,17543,308408,475926,161748,629001,883571,605973
951,727759,371022,1008972,995901,822618,804105,215762,137656,607583,943338,397614,187099
